group,category,count,rate
step20_status,executable_but_wrong,59,0.295
step20_status,final_sql_non_executable,65,0.325
step20_status,correct,76,0.38
executable_wrong_semantics,column_or_value_semantics,7,0.11864406779661017
executable_wrong_semantics,table_selection,41,0.6949152542372882
executable_wrong_semantics,join_structure,30,0.5084745762711864
executable_wrong_semantics,where_condition,13,0.22033898305084745
executable_wrong_semantics,subquery_structure,14,0.23728813559322035
executable_wrong_semantics,aggregation,7,0.11864406779661017
executable_wrong_semantics,group_by,10,0.1694915254237288
executable_wrong_semantics,having,4,0.06779661016949153
executable_wrong_semantics,set_operator,7,0.11864406779661017
executable_wrong_semantics,distinct,6,0.1016949152542373
executable_wrong_semantics,order_by,2,0.03389830508474576
executable_wrong_semantics,limit,2,0.03389830508474576
tool_error,unknown_column,58,0.8923076923076924
tool_error,unknown_table,1,0.015384615384615385
tool_error,sql_syntax,3,0.046153846153846156
tool_error,bad_function_or_aggregation,2,0.03076923076923077
